x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label
mafenide acetate,meɪfnaɪd æsɪteɪt,mafenideʔaketate,octreotide acetate,ɑːktɹɪɑːɾaɪd æsɪteɪt,ʔoktɾeotideʔaketate,0
tracleer,tɹæklɪɹ,tɾakeleɾ,tricor,tɹaɪkɚ,tɾajsoɾ,1
diprivan,dɪpɹɪvæn,dipɾivan,risvan,ɹɪsvæn,ɾisvan,0
cefotetan,sɛfoʊttən,kefotetan,ceftazidime,sɛftɐzɪdaɪm,keftasidime,1
protamine,pɹoʊɾɐmiːn,pɾotamine,protonix,pɹoʊtənɪks,pɾotonjks,1
physostigmine,faɪsəstɪgmaɪn,phjsostigmine,pyridostigmine,pɪɹɪdɑːstɪgmaɪn,pjɾidostigmine,1
zolpidem,zɑːlpaɪdəm,zolpidem,zyloprim,zaɪlɑːpɹɪm,zjlopɾim,1
potassium acetate,pətæsiəm æsɪteɪt,potasumʔaketate,sodium acetate,soʊdiəm æsɪteɪt,sodjumʔaketate,1
aerosporin,ɛɹoʊspoːɹɪn,ʔaeɾospoɾin,polysporin,pɑːlɪspoːɹɪn,poljspoɾin,0
micronase,maɪkɹoʊneɪs,mikɾonase,microzide,maɪkɹoʊzaɪd,mikɾozide,1
ampicillin sodium,æmpɪsɪlɪn soʊdiəm,ʔampisillinsodjum,micafungin sodium,mɪkɐfʌŋgɪn soʊdiəm,mikafuŋinsodjum,0
colchicine,kɑːltʃɪsiːn,kolʧikʔineʔ,cortrosyn,kɔːɹtɹəsɪn,koɾtɾosjn,1
pantoprazole sodium,pæntəpɹæzoʊl soʊdiəm,pantopɾasolesodjum,pentobarbital sodium,pɛntəbɑːɹbɪɾəl soʊdiəm,pentobaɾbitalsodjum,0
mucinex,mjuːsaɪnɛks,mukʔeks,mucinex allergy,mjuːsaɪnɛks ælɚdʒi,mukʔeksʔallɾgj,1
neo synephrine,niːoʊ saɪnɪfɹiːn,neosjnephɾine,neostigmine,niːoʊstɪgmaɪn,neostigmine,1
lunesta,lʌnɛstə,lunesta,bonjesta,bɑːndʒɛstə,bonʤesta,0
kadian,keɪdiən,kadiʔan,kapidex,kæpaɪdɛks,kapidjks,1
abiraterone acetate,æbɚɹæɾɚɹoʊn æsɪteɪt,ʔabiɾateɾoneʔaketate,guanabenz acetate,gwɑːneɪbənts æsɪteɪt,guʔanabensʔaketate,0
etravirine,ɪtɹævɪɹiːn,ʔetɾaviɾine,veraring,vɛɹɛɹɪŋ,veɾaɾiŋ,0
roxanol,ɹɑːksɐnɑːl,ɾoksanol,roxicet,ɹɑːksɪsɪt,ɾoksjset,1
humapen memoir,hjuːmeɪpən mɛmwɑːɹ,humapenmemojɾ,humira pen,hjuːmiəɹə pɛn,humiɾapen,1
sarafem,sæɹəfəm,saɾafem,serophene,sɛɹəfiːn,seɾophene,1
glipizide,glɪpɪzaɪd,glipizide,glyburide,glaɪbɪɹaɪd,gljbuɾide,1
citalopram,sɪɾɐlɑːpɹæm,kitalopɾam,escitalopram,ɛsɪtæləpɹæm,ʔessitalopɾam,1
bactrim ds,bæktɹɪm diːɛs,baktɾimds,bactrim pediatric,bæktɹɪm piːdɪætɹɪk,baktɾimpediʔatɾajs,0
sulfadiazine,sʌlfeɪdɪɐziːn,sulfadiasʔineʔ,sulfasalazine,sʌlfeɪzælɐziːn,sulfasalasʔineʔ,1
cefazolin,sɛfɐzɑːlɪn,kʔefasolin,cefaclor,sɛfæklɚ,kʔefakloɾ,0
carac,kæɹæk,kaɾak,kuric,kjʊɹɹɪk,kuɾjs,1
darvon,dɑːɹvɑːn,daɾvon,diovan,dɪɑːvæn,diovan,1
freamine ii 85,fɹiːmaɪn ɹoʊmən tuː eɪɾi faɪv,fɾeamineʔiiʔ85,freamine iii 10,fɹiːmaɪn ɹoʊmən θɹiː tɛn,fɾeamineʔiʔiiʔ10,0
doxorubicin liposomal,dɑːksoːɹuːbɪsɪn lɪpəsɑːməl,doksoɾubjsjnliposomal,doxil liposomal,dɑːksɪl lɪpəsɑːməl,doksilliposomal,0
pamelor,peɪmlɚ,pameloɾ,tambocor,tæmbɑːkɚ,tambokoɾ,1
tacrolimus,tækɹəlɪməs,takɾolimus,tracrium,tɹækɹiəm,tɾakɾjum,0
duzallo,duːzæloʊ,dusoloʔ,dycill,daɪsɪl,silj,0
alogliptin and metformin hydrochloride,ɐlɑːglɪptɪn ænd mɛtfoːɹmɪn haɪdɹəkloːɹaɪd,ʔalogliptinʔandmetfoɾminhjdɾoʧloɾide,dutasteride and tamsulosin hydrochloride,duːɾeɪstɹaɪd ænd tæmsuːlɑːsɪn haɪdɹəkloːɹaɪd,dutasteɾideʔandtamsulosinhjdɾoʧloɾide,0
loxitane,lɑːksɪteɪn,loksitaneʔ,lithane,lɪθeɪn,lithane,0
akovaz,ækəvæz,ʔakovas,alvaiz,ælveɪz,ʔalvejjs,0
vesanoid,vɛsɐnɔɪd,vesanoid,stanozide,stænəzaɪd,stanozide,0
prilosec,pɹɪloʊsək,pɾilosek,pristiq,pɹɪstɪk,pɾistik,1
hyalgan,haɪælgən,hjalgan,halcion,hælʃən,halsjon,0
sertraline,sɜːtɹəlaɪn,seɾtɾaline,setlakin,sɛtlɐkɪn,setlakin,0
avandia,ævændiə,ʔavandia,coumadin,kaʊmɐdɪn,koumadin,1
sitagliptin,sɪɾɐglɪptɪn,sitagliptin,sumatriptan,suːmɐtɹɪptən,sumatɾiptan,1
capozide 25 15,kæpəzaɪd twɛnti faɪv fɪftiːn,kapozide2515,capozide 50 25,kæpəzaɪd fɪfti twɛnti faɪv,kapozide5025,0
sarafem,sæɹəfəm,saɾafem,solaraze,soʊlæɹəz,solaɾaseʔ,0
ditropan,dɪtɹəpæn,ditɾopan,drolban,dɹɑːlbən,dɾolban,0
cardura,kɑːɹdʒuːɹə,kaɾduɾa,coumadin,kaʊmɐdɪn,koumadin,1
metyrapone,mɛɾɪɹæpoʊn,metjɾapone,metyrosine,mɛɾɪɹɑːsaɪn,metjɾosine,1
daunorubicin liposomal,dɔːnoːɹuːbɪsɪn lɪpəsɑːməl,daʔunoɾubjsjnliposomal,doxil liposomal,dɑːksɪl lɪpəsɑːməl,doksilliposomal,0
labetalol,læbɪtælɑːl,labetalol,lamictal,læmɪktəl,lamiktal,1
everolimus,ɛvɚɹɑːlɪməs,ʔeveɾolimus,temsirolimus,tɛmzɪɹɑːlɪməs,temseɾolimus,0
clindamycin phosphate and tretinoin,klɪndɐmaɪsɪn fɑːsfeɪt ænd tɹɛtɪnɔɪn,klindamjsjnphosphateʔandtɾetinojn,clindamycin phosphate in 09 sodium chloride,klɪndɐmaɪsɪn fɑːsfeɪt ɪn ziəɹoʊ naɪn soʊdiəm kloːɹaɪd,klindamjsjnphosphateʔin09sodjumʧloɾide,0
hydroxyprogesterone,haɪdɹɑːksɪpɹoʊdʒstɚɹoʊn,hjdɾoksjpɾogesteɾone,medroxyprogesterone,mɛdɹəksɪpɹoʊdʒstɚɹoʊn,medɾoksjpɾogesteɾone,1
tylenol,taɪlənɑːl,tjlenol,tylenol pm,taɪlənɑːl piːɛm,tjlenolpm,1
xeloda,zɛloʊdə,kseloda,xenical,zɛnɪkəl,ksjikal,1
atorvastatin,æɾoːɹvæstɐtɪn,ʔatoɾvastatin,lovastatin,lʌvɐstætɪn,lovastatin,0
metolazone,mɛɾəlæzoʊn,metolasone,mytelase,maɪɾɪleɪz,mjtelase,0
b o,biː oʊ,bʔo,beano,biːnoʊ,beano,1
lanoxin,lænəksɪn,lanoksin,lanophyllin,lænəfɪlɪn,lanophjllin,0
stalevo 50,stæliːvoʊ fɪfti,stalevoʔ50,stalevo 75,stæliːvoʊ sɛvənti faɪv,stalevoʔ75,0
diflucan,dɪfluːkən,diflukan,diflunisal,dɪfljuːnɪsəl,diflunisal,0
cefoxitin,sɛfəksɪtɪn,kefoksitin,ceftriaxone,sɛftɹɪæksoʊn,keftɾiʔaksone,1
toujeo,taʊdʒɪoʊ,toʔuʤeo,tresiba,tɹɛzɪbə,tɾesiba,1
novolog flexpen,nɑːvəlɑːg flɛkspən,novologflkspen,novolog mix 70 30 flexpen,nɑːvəlɑːg mɪks sɛvənti θɜːɾi flɛkspən,novologmiks7030flkspen,1
amiloride,æmɪloːɹaɪd,ʔamiloɾide,amlodipine,æmlədɪpaɪn,ʔamlodipine,1
humira pen,hjuːmiəɹə pɛn,humiɾapen,humulin r pen,hjuːmjʊlɪn ɑːɹ pɛn,humulinɾpen,0
femara,fɛmɑːɹɹə,femaɾa,femhrt,fɛmhət,femhɾt,1
fortical,fɔːɹɾɪkəl,foɾtikal,myfortic,maɪfɔːɹɾɪk,mjfoɾtik,0
zestril,zɛstɹəl,zestɾil,zyprexa,zɪpɹɛksə,zjpɾeksaʔ,1
cardene,kɑːɹdiːn,kaɾdene,cardizem,kɑːɹdaɪzəm,kaɾdizem,1
paclitaxel,pæklɪtæksəl,paklitaksel,paclitaxel protein bound particles,pæklɪtæksəl pɹoʊtiːn baʊnd pɑːɹɾɪkəlz,paklitakselpɾotejnboundpaɾtikles,1
covaryx hs,kɑːvɑːɹɹɪks eɪtʃɛs,kovaɾjkshs,covera hs,kʌvɚɹə eɪtʃɛs,koveɾahs,1
tresiba,tɹɛzɪbə,tɾesiba,tevimbra,tɛvɪmbɹə,tevimbɾa,0
clonidine,klɑːnɪdiːn,klonidine,klonopin,klɑːnəpɪn,klonopin,1
quinidine,kwɪnɪdiːn,kinidine,quinine,kwɪnaɪn,kinine,1
tranmep,tɹænmɛp,tɾanmep,trimpex,tɹɪmpɛks,tɾimpeks,0
nilotinib,naɪlətɪnɪb,nilotinib,niraparib,nɜːɹɐpæɹɪb,niɾapaɾib,1
potassium chloride 0037 in dextrose 10 and sodium chloride 045 in plastic container,pətæsiəm kloːɹaɪd ziəɹoʊziəɹoʊθɹiːsɛvən ɪn dɛkstɹoʊz tɛn ænd soʊdiəm kloːɹaɪd ziəɹoʊ foːɹɾi faɪv ɪn plæstɪk kənteɪnɚ,potasumʧloɾide0037ʔindekstɾose10ʔandsodjumʧloɾide045ʔinplastikkontaʔineɾ,potassium chloride 015 in sodium chloride 09 in plastic container,pətæsiəm kloːɹaɪd ziəɹoʊ fɪftiːn ɪn soʊdiəm kloːɹaɪd ziəɹoʊ naɪn ɪn plæstɪk kənteɪnɚ,potasumʧloɾide015ʔinsodjumʧloɾide09ʔinplastikkontaʔineɾ,0
labetalol,læbɪtælɑːl,labetalol,lamotrigine,læmətɹɪdʒɪn,lamotɾigine,1
clomiphene,klɑːmɪfiːn,klomiphene,clomipramine,kləmɪpɹɐmiːn,klomipɾamine,1
myleran,maɪlɚɹən,mjleɾan,myzilra,maɪzɪlɹə,mjzilɾa,0
benicar,bɪnɪkɑːɹ,benikaɾ,sensipar,sɛnsɪpɑːɹ,sensipaɾ,0
benadryl,bɛnɐdɹɪl,benadɾjl,bontril,bɔntɹəl,bontɾil,0
isordil,aɪsoːɹdɪl,ʔisoɾdil,plendil,plɛndɪl,plendil,1
depo medrol,dɪpoʊ mɛdɹɑːl,depomedɾol,solu medrol,sɑːluː mɛdɹɑːl,solumedɾol,1
pitocin,pɪɾəsɪn,pitosjn,pitressin,pɪtɹɪsɪn,pitɾessin,1
avandia,ævændiə,ʔavandia,lazanda,læzændə,lasanda,0
cometriq,kəmɛtɹɪk,kometɾik,contrave,kɑːntɹəviː,kontɾave,0
tegretol,tɛgɹɪtɑːl,tegɾetol,trental,tɹɛntəl,tɾental,1
poly rx,pɑːli ɑːɹɹɛks,poljɾks,polymox,pɑːlɪmɑːks,poljmoks,0
sorafenib,soːɹeɪfnɪb,soɾafenib,sunitinib,sjuːnɪtɪnɪb,sunitinib,1
remeron,ɹɪmɜːɹən,ɾemeɾon,demerol,dɛmɚɹɑːl,demeɾol,0
cefuroxime,sɛfjʊɹɹɑːksaɪm,kefuɾoksime,chibroxin,tʃɪbɹəksɪn,ʧibɾoksin,0
viracept,vɜːɹeɪsəpt,viɾakept,viramune,vɜːɹɐmjuːn,viɾamune,1
diabenese,daɪəbəniːz,diabenese,diamox,daɪəmɑːks,diʔamoks,1
bicillin c r,baɪsɪlɪn siː ɑːɹ,bjsillinkɾ,bicillin l a,baɪsɪlɪn ɛl eɪ,bjsillinlʔa,1
ancef in dextrose 5 in plastic container,ænsɛf ɪn dɛkstɹoʊz faɪv ɪn plæstɪk kənteɪnɚ,ʔankefʔindekstɾose5ʔinplastikkontaʔineɾ,branchamin 4 in plastic container,bɹæntʃɐmɪn foːɹ ɪn plæstɪk kənteɪnɚ,bɾanʧamin4ʔinplastikkontaʔineɾ,0
methazolamide,mɛθeɪzɑːlɐmaɪd,methasolamide,methimazole,mɛθɪmæzoʊl,methimasole,1
vascor,væskɚ,vkoɾ,vascoray,væskoːɹeɪ,vkoɾaj,0
clonazepam,klɑːneɪzpæm,klonasepam,clonidine,klɑːnɪdiːn,klonidine,1
migalastat,mɪgɐlæstæt,migalastat,miostat,mɪɑːstæt,miostat,0
glipizide,glɪpɪzaɪd,glipizide,glimepiride,glaɪmpɪɹɪd,glimepiɾide,0
mucinex d,mjuːsaɪnɛks diː,mukʔeksd,mucinex dm,mjuːsaɪnɛks diːɛm,mukʔeksdm,1
ditropan xl,dɪtɹəpæn ɛksɛl,ditɾopanksl,innopran xl,ɪnnɑːpɹən ɛksɛl,ʔinnopɾanksl,0
fiorinal,fɪoːɹɪnəl,fioɾinal,afrinol,æfɹɪnɑːl,ʔafɾinol,0
atrovent,ætɹoʊvənt,ʔatɾovent,gastrovist,gæstɹəvɪst,gastɾovist,0
inderide la 120 50,ɪndɪɹaɪd læ wʌnhʌndɹɪd twɛnti fɪfti,ʔindeɾidela12050,inderide la 80 50,ɪndɪɹaɪd læ eɪɾi fɪfti,ʔindeɾidela8050,0
cefazolin,sɛfɐzɑːlɪn,kʔefasolin,mezlin,mɛzlɪn,meslin,0
prednisolone,pɹɪdnɪsəloʊn,pɾednisolone,fernisolone p,fɜːnɪsɑːloʊn piː,feɾnisolonep,0
alprazolam,ælpɹɐzɑːlæm,ʔalpɾasolam,clonazepam,klɑːneɪzpæm,klonasepam,1
reprexain,ɹɪpɹɛkseɪn,ɾepɾeksaʔin,zyprexa,zɪpɹɛksə,zjpɾeksaʔ,1
actonel,æktoʊnəl,ʔaktonel,actos,æktoʊz,ʔaktos,1
menactra,mɛnæktɹə,menaktɾa,menomune,mɛnəmjuːn,menomune,1
carteolol hydrochloride,kɑːɹɾɪɑːlɑːl haɪdɹəkloːɹaɪd,kaɾteololhjdɾoʧloɾide,dobutamine hydrochloride,dəbjuːɾɐmiːn haɪdɹəkloːɹaɪd,dobutaminehjdɾoʧloɾide,0
celebrex,sɛlɪbɹɛks,kelebɾeks,celexa,sɛlɛksə,kʔelksaʔ,1
cefotetan,sɛfoʊttən,kefotetan,ceftriaxone,sɛftɹɪæksoʊn,keftɾiʔaksone,1
levemir,lɛvɪmɪɹ,levemiɾ,lovenox,lʌvnɑːks,lavnoks,1
dioval,dɪuːvəl,dioval,diovan,dɪɑːvæn,diovan,1
velosef 125,vɛloʊsəf wʌnhʌndɹɪd twɛnti faɪv,velosef125,velosef 250,vɛloʊsəf tuːhʌndɹɪd fɪfti,velosef250,0
tolazamide,tɑːlɐzæmaɪd,tolasamide,tolbutamide,tɑːlbjuːtæmaɪd,tolbutamide,1
oxybutynin,ɑːksɪbjuːtɪnɪn,ʔoksjbutjnin,oxycodone,ɑːksɪkɑːdoʊn,ʔoksikeodone,1
ogivri,ɑːdʒɪvɹi,ʔogivɾiʔ,osvyrti,ɑːsvɪəɾi,ʔosvjɾti,0
farxiga,fɑːɹksɪgə,faɾksigaʔ,fetzima,fɛtsɪmə,fetsima,1
letairis,lɛɾɛɹɪs,letaiɾis,soliris,sɑːlɪɹɪs,soliɾis,0
minoxidil,mɪnəksɪdɪl,minoksidil,monocid,mɑːnoʊsɪd,monosid,0
toradol,toːɹɐdɑːl,toɾadol,tofranil,tɑːfɹɐnɪl,tofɾanil,0
adderall 10,ædɚɹɔːl tɛn,ʔadɾol10,adderall 125,ædɚɹɔːl wʌnhʌndɹɪd twɛnti faɪv,ʔadɾol125,0
arista ah,æɹɪstə ɑː,ʔaɾistaa,arixtra,æɹɪkstɹə,ʔaɾikstɾa,1
stalevo 125,stæliːvoʊ wʌnhʌndɹɪd twɛnti faɪv,stalevoʔ125,stalevo 150,stæliːvoʊ wʌnhʌndɹɪd fɪfti,stalevoʔ150,0
k phos neutral,keɪ foʊz nuːtɹəl,kphosneutɾal,neutra phos k,nuːtɹə foʊz keɪ,neutɾaphosk,1
metadate,mɛɾədeɪt,metadate,methadone,mɛθɐdoʊn,methadone,1
brevibloc,bɹɛvɪblɑːk,bɾeviblok,brevital,bɹɛvaɪɾəl,bɾevital,1
flumazenil,fluːmeɪznɪl,flumaʔzenil,flaxedil,flæksɪdɪl,flaʔksedil,0
coenzyme q10,koʊɛnzaɪm kjuː tɛn,kojsjmek10,cometriq,kəmɛtɹɪk,kometɾik,1
centrax,sɛntɹæks,kentɾaks,contrave,kɑːntɹəviː,kontɾave,0
abiraterone acetate,æbɚɹæɾɚɹoʊn æsɪteɪt,ʔabiɾateɾoneʔaketate,icatibant acetate,aɪkɐtɪbənt æsɪteɪt,ʔikatibantʔaketate,0
cefazolin,sɛfɐzɑːlɪn,kʔefasolin,cefotetan,sɛfoʊttən,kefotetan,1
hydralazine,haɪdɹɐlæziːn,hjdɾalasʔineʔ,hydro d,haɪdɹoʊ diː,hjdɾod,0
cefazolin,sɛfɐzɑːlɪn,kʔefasolin,ceftriaxone,sɛftɹɪæksoʊn,keftɾiʔaksone,1
proscar,pɹəskɑːɹ,pɾoskaɾ,provera,pɹɑːvɚɹə,pɾoveɾa,1
activase,æktɪveɪs,ʔaktivase,cutivate,kjuːɾɪveɪt,kwtivate,0
memantine,mɛmɐntiːn,memantine,timentin,tɪməntɪn,timentin,0
enjuvia,ɛndʒuːviə,ʔenʤuvja,monjuvi,mɔndʒuːvi,monʤuvi,0
bayrab,beɪɹæb,bajɾab,bayrho d,beɪrhoʊ diː,bajɾhoʔd,1
amantadine hydrochloride,æmɐntædiːn haɪdɹəkloːɹaɪd,ʔamantadinehjdɾoʧloɾide,ethambutol hydrochloride,ɛθɐmbjuːɾɑːl haɪdɹəkloːɹaɪd,ʔethambutolhjdɾoʧloɾide,0
tarceva,tɑːɹsɛvə,taɾseva,tresiba,tɹɛzɪbə,tɾesiba,1
focalin,foʊkɐlɪn,fokalin,evoclin,ɪvɑːklɪn,ʔevoklin,0
dronabinol,dɹɑːnɐbɪnɑːl,dɾonabinol,droperidol,dɹoʊpɹɪdɑːl,dɾopeɾidol,1
ortho cyclen 28,ɔːɹθoʊ saɪklən twɛnti eɪt,ʔoɾthoʔsikeln28,ortho tri cyclen,ɔːɹθoʊ tɹaɪ saɪklən,ʔoɾthoʔtɾisikeln,0
dilacor xr,dɪlækɚɹ ɛksɑːɹ,dilakoɾksɾ,pilocar,paɪləkɑːɹ,pilokaɾ,1
lumify,luːmɪfaɪ,lumifj,lumryz,lʌmɹɪz,lumɾjs,0
sinequan,saɪŋkwən,sinekan,zonegran,zoʊŋgɹən,zonegɾan,1
talwin 50,tælwɪn fɪfti,talwin50,talwin compound,tælwɪn kɑːmpaʊnd,talwinko³³pɔ⁴¹und,0
fioricet,fɪoːɹɪsɪt,fioɾajset,fiorinal,fɪoːɹɪnəl,fioɾinal,1
amifostine,æmɪfɑːstiːn,ʔamifostine,carmustine,kɑːɹməstiːn,kaɾmustine,0
indocin,ɪndɑːsɪn,ʔindosjn,minocin,mɪnəsɪn,minosjn,0
tresiba,tɹɛzɪbə,tɾesiba,strensiq,stɹɛnsɪk,stɾensik,0
axitinib,æksɪtɪnɪb,ʔaksitinib,baricitinib,bæɹɪsɪtɪnɪb,baɾjsitinib,0
dexamethasone,dɛksɐmɛθɐsoʊn,deksʔamethasone,dexmedetomidine,dɛksmɪdɛɾəmɪdiːn,deksmedetomidine,1
lupron depot 3 month,lʌpɹɑːn diːpoʊ θɹiː mʌnθ,lupɾondepot3mont,lupron depot ped,lʌpɹɑːn diːpoʊ pɛd,lupɾondepotped,1
mitomycin,maɪɾəmaɪsɪn,mitomjsjn,erythromycin,ɜːɹɪθɹəmaɪsɪn,ʔeɾjtɾomjsjn,0
dilaudid,dɪlədɪd,dilawdid,dilaudid 5,dɪlədɪd faɪv,dilawdid5,1
nalbuphine,nælbəfiːn,nalbuphine,alphalin,ælfəlɪn,ʔalphalin,0
allegra,ɐlɛgɹə,ʔallegɾa,allegra anti itch cream,ɐlɛgɹə æntaɪ ɪtʃ kɹiːm,ʔallegɾaʔantiiʧkɾeam,1
toujeo,taʊdʒɪoʊ,toʔuʤeo,trulicity,tɹuːlɪsɪɾi,tɾuljsitj,1
idamycin,aɪdɐmaɪsɪn,ʔidamjsjn,indocin,ɪndɑːsɪn,ʔindosjn,0
oxaprozin,ɑːksɐpɹɑːzɪn,ʔoksapɾozin,tiopronin,tɪɑːpɹənɪn,tiopɾonin,0
caspofungin acetate,kæspəfʌŋgɪn æsɪteɪt,kaspofuŋinʔaketate,icatibant acetate,aɪkɐtɪbənt æsɪteɪt,ʔikatibantʔaketate,0
ultracet,ʊltɹæsɪt,ʔultɾaket,ultratag,ʊltɹɐtæg,ʔultɾatag,0
pneumococcal 7 valent vaccine,nuːməkɑːkəl sɛvən veɪlənt væksiːn,pneumokokal7valentvakʔineʔ,pneumococcal polyvalent vaccine,nuːməkɑːkəl pɑːlɪveɪlənt væksiːn,pneumokokalpoljvalentvakʔineʔ,1
ethaverine,ɛθɐvɚɹiːn,ʔetʔaveɾine,etravirine,ɪtɹævɪɹiːn,ʔetɾaviɾine,1
lamivudine zidovudine 150 mg 300 mg tablets co packaged with nevirapine 200 mg tablets,læmɪvjuːdiːn zɪdəvjuːdiːn wʌnhʌndɹɪd fɪfti ɛmdʒiː θɹiːhʌndɹɪd ɛmdʒiː tæbləts koʊ pækɪdʒd wɪð nɛvɚɹæpaɪn tuːhʌndɹɪd ɛmdʒiː tæbləts,lamivudinezidovudine150mʤi300mʤitableʧkopakkagedwitneviɾapine200mʤitableʧ,lamivudine zidovudine tabs 150mg 300mg co packaged with nevirapine tabs 200mg,læmɪvjuːdiːn zɪdəvjuːdiːn tæbz wʌnhʌndɹɪd fɪfti ɛmdʒiː θɹiːhʌndɹɪd ɛmdʒiː koʊ pækɪdʒd wɪð nɛvɚɹæpaɪn tæbz tuːhʌndɹɪd ɛmdʒiː,lamivudinezidovudinetabs150mʤi300mʤikopakkagedwitneviɾapinetabs200mʤi,0
medroxyprogesterone,mɛdɹəksɪpɹoʊdʒstɚɹoʊn,medɾoksjpɾogesteɾone,methyltestosterone,mɛθəlɾɪstɑːstɚɹoʊn,methjltestosteɾone,1
casodex,kæsoʊdɛks,kks,faslodex,fæsloʊdɛks,faslodeks,0
amikacin sulfate,æmɪkæsɪn sʌlfeɪt,ʔamikasjnsulfate,morphine sulfate,mɔːɹfiːn sʌlfeɪt,moɾphinesulfate,0
tradjenta,tɹædʒɛntə,tɾadʤenta,tresiba,tɹɛzɪbə,tɾesiba,1
oxycodone,ɑːksɪkɑːdoʊn,ʔoksikeodone,oxycontin,ɑːksɪkɔntɪn,ʔoksikeontin,1
cozaar,kəzɑːɹ,kosaʔaɾ,ecoza,ɛkoʊzə,ʔekosa,0
thrombate iii,θɹɑːmbeɪt ɹoʊmən θɹiː,tɾombateʔiʔiiʔ,thrombin topical,θɹɑːmbɪn tɑːpɪkəl,tɾombintopikal,1
ephedrine,ɛfɪdɹiːn,ʔephedɾine,phenurone,fɛnjʊɹɹoʊn,phenuɾone,0
serophene,sɛɹəfiːn,seɾophene,reserpine,ɹɪsɜːpaɪn,ɾeseɾpine,0
cisplatin,sɪsplɐtɪn,kisplatin,dilantin,dɪlɐntɪn,dilantin,0
norcuron,noːɹkjʊɹɹən,noɾsuɾon,norco,noːɹkoʊ,noɾko,0
activase,æktɪveɪs,ʔaktivase,tnkase,tiːɛŋkeɪs,tŋkase,1
antrenyl,æntɹənaɪl,ʔantɾenjl,pregnyl,pɹɛgnaɪl,pɾegnjl,0
rifamate,ɹɪfɐmeɪt,ɾifamate,topiramate,tɑːpɚɹæmeɪt,topiɾamate,0
