x_1,t_1,x_2,t_2,label
cutasept f colorless,kjuːɾeɪsəpt ɛf kʌlɚləs,hepatis f,hɛpɑːɾiz ɛf,1
varsa,vɑːɹsə,balversa,bælvɚsə,1
oxanova,ɑːksɐnoʊvə,floxanova 500,flɑːksɐnoʊvə faɪvhʌndɹɪd,1
pipercil 45,paɪpɚsəl fɔːɹɾi faɪv,pipercil 225,paɪpɚsəl tuːhʌndɹɪd twɛnti faɪv,1
aizerone,aɪzɚɹoʊn,zerone,ziəɹoʊn,1
bepsar,bɛpsɑːɹ,besarth plus,bɪsɑːɹθ plʌs,1
allase,æleɪz,allurase,ɐlʊɹɹeɪz,1
candegen,kændɛdʒən,candez,kændɛz,1
essencia maravillosa,ɛsɛnʃə mæɹɐvɪloʊsə,essencap,ɛsəŋkæp,1
qualcet,kwɔlsɪt,qualizef,kwɔlaɪzəf,1
celeb 200,sɛlɛb tuːhʌndɹɪd,celence 200,sɛləns tuːhʌndɹɪd,1
uricobles 40,jʊɹɹɪkɑːbəlz fɔːɹɾi,noric 40,nɔːɹɪk fɔːɹɾi,1
cosvit c plus,kɑːsvɪt siː plʌs,azcor c,æzkɚ siː,1
clariwin dt,klæɹɪwɪn diːtiː,claribid,klæɹɪbɪd,1
zoledius 4,zoʊldɪəs fɔːɹ,zoled,zoʊld,1
clavorilz,klævɔːɹɪlz,clavoxel,klævɑːksəl,1
colchicine,kɑːltʃɪsiːn,cocine,kɑːsiːn,1
perazovic,pɛɹɐzɑːvɪk,perzo,pɜːzoʊ,1
dia bplex,daɪə biːplɛks,bilex,baɪlɛks,1
beztin,bɛztɪn,bezolin,bɛzəlɪn,1
teli 80,tɛli eɪɾi,2tel 80,tuː tɛl eɪɾi,1
allutamide,ɐluːɾɐmaɪd,bicalutamide,baɪkæluːtæmaɪd,1
ketoran,kɛɾɔːɹən,ketoman,kɛɾɑːmən,1
sunpant 40,sʌnpənt fɔːɹɾi,telmisur hct 40,tɛlmɪsɜːɹ eɪtʃsiːtiː fɔːɹɾi,1
clottam,klɑːɾæm,ciflotram,sɪflətɹæm,1
myelax,maɪɪlæks,muskelax,mʌskɪlæks,1
magnilek,mægnaɪlək,magniferron fa,mægnɪfɛɹən fɑː,1
finzant,fɪnzənt,finar,faɪnɑːɹ,1
esonex iv,ɛsoʊnɛks ɹoʊmən fɔːɹ,esomax iv,ɛsəmæks ɹoʊmən fɔːɹ,1
vistachlor,vɪstɐklɔːɹɚ,histacort,hɪstɐkɔːɹt,1
ascorp cee,ɐskɔːɹp siː,ascof,ɐskɑːf,1
bucligen,bʌklaɪdʒən,betclogen,bɛtklədʒən,1
corvizem,kɔːɹvaɪzəm,corbizee d3500,kɔːɹbɪziː diː θɹiː θaʊzənd faɪvhʌndɹɪd,1
hidrasec,hɪdɹeɪsək,rasec,ɹeɪsək,1
adrepine,ɐdɹɛpaɪn,atorpine,æɾɔːɹpaɪn,1
moxidin,mɑːksɪdɪn,moxiden,mɑːksaɪdən,1
paulonorest,pɔːlənɔːɹst,virest,vaɪɚst,1
satcapto 25,sætkæptoʊ twɛnti faɪv,captor 25,kæptɚ twɛnti faɪv,1
migco,mɪgkoʊ,micor,mɪkɚ,1
anarom,ænɐɹɑːm,anazo,ænɑːzoʊ,1
aritero 5,æɹɪtɛɹoʊ faɪv,biozart duo 50 5,baɪoʊzɑːɹt duːoʊ fɪfti faɪv,1
flulon,fluːlɑːn,flutilon,fluːɾɪlən,1
tecum 003,tɛkəm ziəɹoʊziəɹoʊ θɹiː,clotec,kloʊɾək,1
gozol iv,gɑːzɑːl ɹoʊmən fɔːɹ,altozol iv,æltəzɑːl ɹoʊmən fɔːɹ,1
insuljack r,ɪnsʌldʒæk ɑːɹ,insuljack n,ɪnsʌldʒæk ɛn,1
tenol,tɛnɑːl,tenolon,tɛnɑːlən,1
imbruvica,ɪmbɹuːvɪkə,imreb,ɪmɹɛb,1
robitussin sinus relief,ɹɑːbaɪtʌsɪn saɪnəs ɹɪliːf,robitussin me,ɹɑːbaɪtʌsɪn miː,1
suncetin tab,sʌnsɪtɪn tæb,suncetin iv,sʌnsɪtɪn ɹoʊmən fɔːɹ,1
bersevel,bɚsɛvəl,renvela,ɹɛnvɛlə,1
aritero 5,æɹɪtɛɹoʊ faɪv,gliflomet 1000 5,glɪflɑːmɪt wʌn θaʊzənd faɪv,1
dexmer,dɛksmɚ,dexamethasone,dɛksɐmɛθɐsoʊn,1
bucligen,bʌklaɪdʒən,butagen,bjuːɾədʒən,1
torcand 8,tɔːɹkænd eɪt,candego 8,kændiːgoʊ eɪt,1
rabaphen,ɹæbæfən,orapen,ɔːɹeɪpən,1
arpipo,ɑːɹpɪpoʊ,aripraz 10,æɹɪpɹæz tɛn,1
nicardilex,nɪkɑːɹdaɪlɛks,nicardia,nɪkɑːɹdiə,1
clariwin dt,klæɹɪwɪn diːtiː,clariwi,klæɹɪwi,1
aubrex,ɔːbɹɛks,obrex,ɑːbɹɛks,1
domperone,dɑːmpɚɹoʊn,dompedone,dɑːmpɪdoʊn,1
o gold 20,oʊ goʊld twɛnti,gold zs,goʊld ziːɛs,1
sorbance 5,sɔːɹbəns faɪv,sorbance 10,sɔːɹbəns tɛn,1
cartine,kɑːɹtiːn,carin,kæɹɪn,1
curocent,kjʊɹɹoʊsənt,rocef,ɹoʊsəf,1
enerflow,ɛnɚfloʊ,enervon,ɛnɚvən,1
kephazon s q,kɛfeɪzən ɛs kjuː,cefxon s,sɛfksən ɛs,1
st martin,sənt mɑːɹtɪn,somaritin,sɑːmɐɹɪtɪn,1
puroxan,pjʊɹɹɑːksən,puroxel,pjʊɹɹɑːksəl,1
finzant,fɪnzənt,finaplasia 5,faɪnɐpleɪʒə faɪv,1
gloww e,gloʊwə iː,eye glo regular,aɪ gloʊ ɹɛgjʊlɚ,1
altussan,ɔːltʌsən,dynatussin,daɪnɐtʌsɪn,1
ferrqure,fɛrkwɚɹə,ferricore,fɛɹɪkɔːɹ,1
robitussin sinus relief,ɹɑːbaɪtʌsɪn saɪnəs ɹɪliːf,robitussin,ɹɑːbaɪtʌsɪn,1
oranair plus,ɔːɹɐnɛɹ plʌs,arb plus,ɑːɹb plʌs,1
natrasol plus,nætɹɐsɑːl plʌs,natures plus baby plex,neɪtʃɚz plʌs beɪbi plɛks,1
rifoxyn,ɹɪfəksɪn,rifoxane,ɹɪfəkseɪn,1
glixa,glɪksə,celixa 400,sɛlɪksə fɔːɹhʌndɹɪd,1
pacitel 30,pæsɪɾəl θɜːɾi,aclitel,ɐklɪɾəl,1
bucligen,bʌklaɪdʒən,buclimin,bʌklaɪmɪn,1
izon,aɪzɑːn,sizonil 100,saɪzənɪl wʌnhʌndɹɪd,1
arpipo,ɑːɹpɪpoʊ,aspipro,æspɪpɹoʊ,1
mednosetron,mɛdnoʊstɹɑːn,asetron,æsɪtɹɑːn,1
aviar,eɪvɪɑːɹ,avsar,ævsɑːɹ,1
anarom,ænɐɹɑːm,anatero,ænɐtɛɹoʊ,1
maricoxia 90,mæɹɪkɑːksiə naɪnti,ecoxia 90,ɛkɑːksiə naɪnti,1
macromycin,mækɹəmaɪsɪn,euromycin,jʊɹɹoʊmaɪsɪn,1
esmazol,ɛsmɐzɑːl,kemazol,kɛmɐzɑːl,1
cloxin,klɑːksɪn,cloxina,klɑːksɪnə,1
rabaphen,ɹæbæfən,rabem,ɹeɪbəm,1
rahika,ɹæhɪkə,zanika,zænɪkə,1
stanxime,stæŋksaɪm,stanxib,stæŋksɪb,1
risgen,ɹɪsdʒən,arigen,æɹaɪdʒən,1
pocym 250,pɑːsɪm tuːhʌndɹɪd fɪfti,cylocortix 250,saɪləkɔːɹɾɪks tuːhʌndɹɪd fɪfti,1
neurocil,nʊɹɹəsɪl,neurovit,nʊɹɹəvɪt,1
rainoxone,ɹeɪnəksoʊn,ginox,dʒɪnɑːks,1
yulareb,juːlɛɹb,telarb plus,tɛlɑːɹb plʌs,1
bruhep,bɹuːhɛp,bruprim ds,bɹʌpɹɪm diːɛs,1
actyl 100,æktaɪl wʌnhʌndɹɪd,acteinsaph 100,ækteɪnsæf wʌnhʌndɹɪd,1
dota plus,doʊɾə plʌs,c vita zn plus d3,siː viːɾə ziːɛn plʌs diː θɹiː,1
param iv,pæɹəm ɹoʊmən fɔːɹ,para iv,pæɹɚ ɹoʊmən fɔːɹ,1
predfirst,pɹɪdfɜːst,pred forte,pɹɛd fɔːɹɾeɪ,1
rodazid,ɹɑːdɐzɪd,redacid,ɹɪdæsɪd,1
dsinfex,diːsɪnfɛks,infexin,ɪnfɛksɪn,1
magnilek,mægnaɪlək,magnefix,mægnɪfɪks,1
robitussin sinus relief,ɹɑːbaɪtʌsɪn saɪnəs ɹɪliːf,robitussin dm,ɹɑːbaɪtʌsɪn diːɛm,1
theoroxime 750,θiəɹəksaɪm sɛvənhʌndɹɪd fɪfti,theoroxime 500,θiəɹəksaɪm faɪvhʌndɹɪd,1
gascopan,gæskəpæn,buscopan,bʌskəpæn,1
glucophage,gluːkɑːfɪdʒ,glucovance,gluːkɑːvəns,1
asconzee,ɐskɑːnziː,asconvitazin,ɐskɑːnvɪtæzɪn,1
affolac,ɐfɑːlæk,affoline,ɐfɑːliːn,1
ramitob,ɹæmɪtɑːb,lamitor 100,læmɪɾɚ wʌnhʌndɹɪd,1
vaxol,væksɑːl,caxol,kæksɑːl,1
axonedu,æksoʊnduː,alixone,ælɪksoʊn,1
dolan fp,dɑːlæn ɛfpiː,doxan,dɑːksən,1
telmiheart plus 925,tɛlmɪhɑːɹt plʌs naɪnhʌndɹɪd twɛnti faɪv,alma plus,ɔlmə plʌs,1
nirsaph 600,nɜːsæf sɪkshʌndɹɪd,nirva,nɜːvə,1
menquadfi,mɛŋkwɑːdfi,imiquad,ɪmɪkwɑːd,1
finstal 1,fɪnstɔːl wʌn,tral,tɹæl,1
panadene,pænɐdiːn,paragen,pæɹədʒən,1
sanzepir 50,sænzɪpɪɹ fɪfti,sitazit mp 50 500,sɪɾɐzɪt ɛmpiː fɪfti faɪvhʌndɹɪd,1
herperax,hɜːpɚɹæks,heprabica 1000,hɛpɹæbɪkə wʌn θaʊzənd,1
coughsaph 1,kɔfsæf wʌn,rosusaph 10,ɹɑːsuːsæf tɛn,1
clophen,klɑːfən,clocephen,kloʊsfən,1
bomozid,bɑːməzɪd,omezid,oʊmzɪd,1
c flam,siː flæm,ad c plus,æd siː plʌs,1
adrepine,ɐdɹɛpaɪn,acedrine,ɐsɛdɹiːn,1
levollen,lɛvɑːlən,levogen,lɛvədʒən,1
veeta,viːɾə,ventar,vɛntɚ,1
ewel zee plus,juːəl ziː plʌs,kidimeed c plus drops,kɪdɪmiːd siː plʌs dɹɑːps,1
halonol,heɪlənɑːl,hansol,hænsɑːl,1
tracrium,tɹækɹiəm,atracor,ætɹækɚ,1
silrec 50,sɪlɹɛk fɪfti,novasit m 50 500,noʊvəsɪt ɛm fɪfti faɪvhʌndɹɪd,1
carbosaph c500,kɑːɹbəsæf siː faɪvhʌndɹɪd,clarisaph 500,klæɹɪsæf faɪvhʌndɹɪd,1
amloval 160 10,æmluːvəl wʌnhʌndɹɪd sɪksti tɛn,aml 10,æməl tɛn,1
kephazon s q,kɛfeɪzən ɛs kjuː,diquas s,dɪkwəz ɛs,1
blirelin,blaɪɚlɪn,zelin,zɛlɪn,1
clindamycin as hydrochloride,klɪndɐmaɪsɪn æz haɪdɹəklɔːɹaɪd,clindal,klɪndəl,1
aviar,eɪvɪɑːɹ,avarin,ævɚɹɪn,1
easyef,iːzɪɛf,easekin,iːskɪn,1
essencia maravillosa,ɛsɛnʃə mæɹɐvɪloʊsə,solosa,səloʊsə,1
st martin,sənt mɑːɹtɪn,carin,kæɹɪn,1
sunpant 40,sʌnpənt fɔːɹɾi,pantolev plus 40,pæntoʊləv plʌs fɔːɹɾi,1
qualcet,kwɔlsɪt,quadcef 500,kwɑːdsɛf faɪvhʌndɹɪd,1
zitabin 1000,zɪɾɐbɪn wʌn θaʊzənd,getabin 1000,gɛɾɐbɪn wʌn θaʊzənd,1
neuromard,nʊɹɹəmɑːɹd,neuromet,nʊɹɹɑːmɪt,1
actyl 100,æktaɪl wʌnhʌndɹɪd,clitaxsaph 100,klɪɾɐkssæf wʌnhʌndɹɪd,1
lifort,lɪfɔːɹt,clorifort,klɔːɹɪfɔːɹt,1
beztin,bɛztɪn,betzine,bɛtsiːn,1
cloxin,klɑːksɪn,cloxid,klɑːksɪd,1
exerta,ɛgzɜːɾə,axera,æksɚɹə,1
anarom,ænɐɹɑːm,adaron,ɐdæɹən,1
torcand 8,tɔːɹkænd eɪt,forcad,fɔːɹkæd,1
omepracent 40,oʊmpɹeɪsənt fɔːɹɾi,enpen 40,ɛnpɛn fɔːɹɾi,1
pure cee,pjʊɹ siː,pure dee,pjʊɹ diː,1
retasarc,ɹɪtæsɑːɹk,retastat,ɹɪteɪstæt,1
carbosaph c500,kɑːɹbəsæf siː faɪvhʌndɹɪd,carbosaph 200,kɑːɹbəsæf tuːhʌndɹɪd,1
cafgard forte,kæfgɑːɹd fɔːɹɾeɪ,icaf,aɪkæf,1
flammasul,flæmæsəl,flammacerium,flæmɐsɪɹiəm,1
ascorp cee,ɐskɔːɹp siː,vascor,væskɚ,1
celtere,kɛltɚ,belcytere,bɛlsaɪɾɚ,1
ketoran,kɛɾɔːɹən,ketrian,kɛtɹiən,1
alkacit,ælkɐsɪt,alka c,ælkə siː,1
lamtac 25,læmtæk twɛnti faɪv,valcare ah 160 10 25,vælkɛɹ ɑː wʌnhʌndɹɪd sɪksti tɛn twɛnti faɪv,1
rapidon,ɹæpɪdən,apiden,ɐpaɪdən,1
moxidin,mɑːksɪdɪn,maxidin,mæksɪdɪn,1
gablin,gæblɪn,gavlin,gævlɪn,1
sandostatin,sændəstætɪn,dostan,dɑːstən,1
clindamycin as hydrochloride,klɪndɐmaɪsɪn æz haɪdɹəklɔːɹaɪd,hydr,haɪdɚ,1
algabin 75,ælgɐbɪn sɛvənti faɪv,valabin 500,vælɐbɪn faɪvhʌndɹɪd,1
kalmeco,kælmiːkoʊ,salmeflo,sælmɛfloʊ,1
insuget 70 30,ɪnsuːgɪt sɛvənti θɜːɾi,insulyf 30 70 biphasic,ɪnsuːlɪf θɜːɾi sɛvənti baɪfæzɪk,1
povistat,pɑːvɪstæt,positate,pɑːzɪteɪt,1
insuljack r,ɪnsʌldʒæk ɑːɹ,insulatard,ɪnsəlæɾɑːɹd,1
glurexa,glʊɹɹɛksə,glixa,glɪksə,1
st martin,sənt mɑːɹtɪn,cartin,kɑːɹtɪn,1
algabin 75,ælgɐbɪn sɛvənti faɪv,gabi,gæbaɪ,1
riscare odt,ɹɪskɛɹ ɑːt,ristac,ɹɪstæk,1
diquas,dɪkwəz,duasaph 300,duːɐsæf θɹiːhʌndɹɪd,1
rifelac,ɹaɪflæk,rifeclav,ɹaɪfklæv,1
luotriaxone,ljuːətɹɪɐksoʊn,triaxin,tɹaɪɐksɪn,1
muldezar,mʌldɪzɑːɹ,aezar,iːzɑːɹ,1
thiamine mononitrate vit b pyridoxine hydrochloride vit b6 cyanocobalamin vit b12,θaɪəmaɪn mɑːnoʊnaɪtɹeɪt vɪt biː pɪɹɪdɑːksaɪn haɪdɹəklɔːɹaɪd vɪt biː sɪks saɪɐnɑːkəbælɐmɪn vɪt biː twɛlv,brompheniramine maleate phenylephrine hydrochloride,bɹɑːmfənɜːɹɐmiːn meɪleɪt fiːnaɪlɛfɹiːn haɪdɹəklɔːɹaɪd,1
peptobloc,pɛptəblɑːk,peptin,pɛptɪn,1
vuznerv,vʌznɜːv,rejunerv,ɹɪdʒuːnɜːv,1
caxetil,kæksɪtɪl,canexil,keɪŋksɪl,1
giomox,dʒɪɑːmɑːks,gomox,gɑːmɑːks,1
vitlex,vɪtlɛks,vitoplex,vɪɾəplɛks,1
hizid,hɪzɪd,hialid,haɪəlɪd,1
trixophin w,tɹɪksəfɪn dʌbəljuː,frixo,fɹɪksoʊ,1
njectzole,ɛndʒɛktsoʊl,jaczole,dʒækzoʊl,1
finaplasia 1,faɪnɐpleɪʒə wʌn,ampi 1,æmpi wʌn,1
metocol,mɛɾəkɑːl,metoclon,mɛɾɑːklən,1
ceprime,sɛpɹaɪm,cefrimed,sɛfɹaɪmd,1
giomox,dʒɪɑːmɑːks,guimox,gɪmɑːks,1
pantazil,pæntɐzɪl,pantonil,pæntənɪl,1
lifort,lɪfɔːɹt,fluifort m,fljuːɪfɔːɹt ɛm,1
ciprodin fc,sɪpɹədɪn ɛfsiː,ciprodan 750,sɪpɹɑːdən sɛvənhʌndɹɪd fɪfti,1
vaxol,væksɑːl,avazol,ævɐzɑːl,1
kalmeco,kælmiːkoʊ,klemen c,klɛmɛn siː,1
candegen,kændɛdʒən,candego 8,kændiːgoʊ eɪt,1
varsa,vɑːɹsə,vasator 10,væseɪɾɚ tɛn,1
nax d,næks diː,d letrox,diː lɛtɹɑːks,1
atracursaph,ætɹɐkɜːsæf,atorcura,æɾɔːɹkjʊɹɹə,1
melifrin ds,mɛlɪfɹɪn diːɛs,relifer,ɹɪlɪfɚ,1
curocent,kjʊɹɹoʊsənt,purcet,pɜːsɪt,1
flosazin,flɑːsɐzɪn,dapagliflozin,dæpɐglɪfləzɪn,1
roysal,ɹɔɪsəl,royaledent,ɹɔɪeɪldənt,1
rabaphen,ɹæbæfən,biosaphen,baɪoʊsæfən,1
relidomide 15,ɹɪlɪdəmaɪd fɪftiːn,relidomide 10,ɹɪlɪdəmaɪd tɛn,1
tribacef,tɹaɪbeɪsəf,triocef,tɹaɪoʊsəf,1
rivanex 20,ɹɪveɪnɛks twɛnti,rivanex 10,ɹɪveɪnɛks tɛn,1
immubulin,ɪmjuːbjʊlɪn,immunosin,ɪmjuːnəsɪn,1
lipirid,lɪpɪɹɪd,gliride,glɪɹɪd,1
ezomephil,ɛzoʊmfɪl,omephil 40,oʊmfɪl fɔːɹɾi,1
clavtri 625,klævtɹi sɪkshʌndɹɪd twɛnti faɪv,clavic,klævɪk,1
katinko ginger amp patchouli oil scent,kætɪŋkoʊ dʒɪndʒɚɹ æmp pætʃuːli ɔɪl sɛnt,katinko lavender,kætɪŋkoʊ lævəndɚ,1
paulonorest,pɔːlənɔːɹst,noren,nɔːɹən,1
corvizem,kɔːɹvaɪzəm,corbizee plus fc,kɔːɹbɪziː plʌs ɛfsiː,1
cefkizon,sɛfkaɪzən,izo,aɪzoʊ,1
maricoxia 90,mæɹɪkɑːksiə naɪnti,tricoxia,tɹaɪkɑːksiə,1
amlogen,æmlədʒən,amloget 5,æmlɑːdʒɪt faɪv,1
aspishield,æspɪʃiːld,aspifend,æspaɪfənd,1
stanxime,stæŋksaɪm,sanoxime,sænəksaɪm,1
zandropil,zændɹɑːpəl,androgel,ændɹoʊdʒəl,1
cefromaxil,sɛfɹəmæksɪl,amoxil,æməksɪl,1
clavoxsea 457,klævəkssiː fɔːɹhʌndɹɪd fɪfti sɛvən,clavoxsea 2285,klævəkssiː tuː θaʊzənd tuːhʌndɹɪd eɪɾi faɪv,1
predixone,pɹiːdɪksoʊn,dexone,dɛksoʊn,1
bepsar,bɛpsɑːɹ,besartan,bɪsɑːɹtən,1
dermaidmanza,dɜːmeɪdmænzə,dermaid menthol rub,dɜːmeɪd mɛnθɑːl ɹʌb,1
immubulin,ɪmjuːbjʊlɪn,blinic,blɪnɪk,1
saphtriaxone sb,sæftɹɪæksoʊn ɛsbiː,triazone,tɹaɪɐzoʊn,1
dia bplex,daɪə biːplɛks,diplex,dɪplɛks,1
roysal,ɹɔɪsəl,rosalta,ɹoʊzɔltə,1
bonsenz,bɑːnsɛnts,bosenpah 125,boʊsɛnpə wʌnhʌndɹɪd twɛnti faɪv,1
ifos,aɪfoʊz,ifosfaget,aɪfəsfægɪt,1
aritero 5,æɹɪtɛɹoʊ faɪv,amlovart 160 5,æmləvɑːɹt wʌnhʌndɹɪd sɪksti faɪv,1
saphcisin 100,sæfsɪsɪn wʌnhʌndɹɪd,cisaphtin 10,sɪsɐftɪn tɛn,1
moxclatab,mɑːksklɐtæb,imox,ɪmɑːks,1
lipirid,lɪpɪɹɪd,lipitor,lɪpɪɾɚ,1
uricobles 40,jʊɹɹɪkɑːbəlz fɔːɹɾi,ojos 40,oʊdʒoʊz fɔːɹɾi,1
ferrqure,fɛrkwɚɹə,ferro care,fɛɹoʊ kɛɹ,1
ciprodin fc,sɪpɹədɪn ɛfsiː,iprocin,ɪpɹəsɪn,1
gloww e,gloʊwə iː,plat low ea,plæt loʊ iː,1
cizolin,sɪzəlɪn,cikolin,sɪkəlɪn,1
saphtriaxone sb,sæftɹɪæksoʊn ɛsbiː,striaxon,stɹaɪəksən,1
tobracor,tɑːbɹækɚ,tobracid,tɑːbɹɐsɪd,1
dota plus,doʊɾə plʌs,biozart plus 25,baɪoʊzɑːɹt plʌs twɛnti faɪv,1
katinko ginger amp patchouli oil scent,kætɪŋkoʊ dʒɪndʒɚɹ æmp pætʃuːli ɔɪl sɛnt,katinko fragrant oil,kætɪŋkoʊ fɹeɪgɹənt ɔɪl,1
propitaz iv,pɹəpɪɾæz ɹoʊmən fɔːɹ,elpitaz,ɛlpɪtæz,1
voltaren forte,voʊltæɹən fɔːɹɾeɪ,voltaren sr,voʊltæɹən ɛsɑːɹ,1
biposaph g10,baɪpɑːsæf dʒiː tɛn,bupisaph,bjuːpɪsæf,1
acitrate,ɐsɪtɹeɪt,kycitrate,kaɪsɪtɹeɪt,1
xeomin,zɪɑːmɪn,tezomin,tɛzəmɪn,1
coglitazone 30,kɑːglɪtæzoʊn θɜːɾi,goglitazone 30,gɑːglɪtæzoʊn θɜːɾi,1
predfirst,pɹɪdfɜːst,predex,pɹɪdɛks,1
anarom,ænɐɹɑːm,anaferon,ænɐfɚɹən,1
diquas,dɪkwəz,diquas s,dɪkwəz ɛs,1
enerstress,ɛnɚstɹəs,entresto,ɛntɹɛstoʊ,1
medglor 90,mɛdʒlɚ naɪnti,tiglor,tɪglɚ,1
retapenem,ɹɪteɪpnəm,ertapen,ɜːɾeɪpən,1
salrite,sælɹaɪt,losarite,lɑːsɑːɹɹaɪt,1
berodual f udv,bɪɹɑːdʒuːəl ɛf ʌdv,betrol,bɪtɹɑːl,1
enerflow,ɛnɚfloʊ,energo,ɛnɚgoʊ,1
greenxime,gɹiːŋksaɪm,cefreexime,sɛfɹiːksaɪm,1
omepracent 40,oʊmpɹeɪsənt fɔːɹɾi,omep,oʊməp,1
exerta,ɛgzɜːɾə,exetas 25,ɛgzɛɾəz twɛnti faɪv,1
nivicof,nɪvɪkɑːf,exicof,ɛgzɪkɑːf,1
cartine,kɑːɹtiːn,cartinex,kɑːɹtaɪnɛks,1
indiurex,ɪndɪjuːɹɛks,andrex,ændɹɛks,1
laberfen,læbɚfən,almefen,ɔlmɛfən,1
qualcet,kwɔlsɪt,qracet,kjuːɹeɪst,1
tecum 003,tɛkəm ziəɹoʊziəɹoʊ θɹiː,imtec,ɪmtɛk,1
tioconazole tinidazole,tɪɑːkənæzoʊl tɪnɪdæzoʊl,godazole,gɑːdɐzoʊl,1
yulareb,juːlɛɹb,acular,ækjʊlɚ,1
vuznerv,vʌznɜːv,auxinerv,ɔːksɪnɜːv,1
paulonorest,pɔːlənɔːɹst,palonex,pæloʊnɛks,1
povistat,pɑːvɪstæt,povisafe,pɑːvɪseɪf,1
dota plus,doʊɾə plʌs,aztrate xr plus,æztɹeɪt ɛksɑːɹ plʌs,1
omecore,oʊmkɔːɹ,omacor,ɑːmækɚ,1
euvichol plus,juːvɪkɑːl plʌs,duoglica plus 50 500,duːɑːglɪkə plʌs fɪfti faɪvhʌndɹɪd,1
co amoxisaph 457,koʊ æməksɪsæf fɔːɹhʌndɹɪd fɪfti sɛvən,co amoxisaph 625,koʊ æməksɪsæf sɪkshʌndɹɪd twɛnti faɪv,1
tarka,tɑːɹkə,tagraf,tægɹæf,1
xygyn,zaɪdʒɪn,coxyn,kɑːksɪn,1
altacar,ɔːltɐkɑːɹ,bactacare,bæktɐkɛɹ,1
dermaidmanza,dɜːmeɪdmænzə,dermactin,dɜːmɐktɪn,1
sethair duo,sɛɾaɪɚ duːoʊ,retair,ɹɪtɛɹ,1
zitabin 1000,zɪɾɐbɪn wʌn θaʊzənd,getabin 100,gɛɾɐbɪn wʌnhʌndɹɪd,1
saphtriaxone sb,sæftɹɪæksoʊn ɛsbiː,saphtram,sæftɹæm,1
startline 50,stɑːɹtlaɪn fɪfti,startline 25,stɑːɹtlaɪn twɛnti faɪv,1
blatin 50,bleɪtɪn fɪfti,lamotrin odt 50,læmətɹɪn ɑːt fɪfti,1
paratuss,pæɹətʌs,parasaph 500 tab,pæɹəsæf faɪvhʌndɹɪd tæb,1
finaplasia 1,faɪnɐpleɪʒə wʌn,lariax 1,lɛɹɪæks wʌn,1
dypita 225,daɪpiːɾə tuːhʌndɹɪd twɛnti faɪv,dypita,daɪpiːɾə,1
essencia maravillosa,ɛsɛnʃə mæɹɐvɪloʊsə,kessen,kɛsən,1
suncetin tab,sʌnsɪtɪn tæb,bocetin,boʊstɪn,1
medivasc,mɛdɪvæsk,medibact,mɛdɪbækt,1
gaviscon double action,gævɪskən dʌbəl ækʃən,gascovid double action,gæskəvɪd dʌbəl ækʃən,1
aritero 5,æɹɪtɛɹoʊ faɪv,amapine v 5 160,æmɐpaɪn viː faɪv wʌnhʌndɹɪd sɪksti,1
kercip 400,kɜːsɪp fɔːɹhʌndɹɪd,kracid,kɹæsɪd,1
cizolin,sɪzəlɪn,lizolid,lɪzəlɪd,1
allase,æleɪz,allercet l,ælɚsɪt ɛl,1
easyef,iːzɪɛf,easy drop,iːzi dɹɑːp,1
altacar,ɔːltɐkɑːɹ,atracare star,ætɹɐkɛɹ stɑːɹ,1
coglitazone 30,kɑːglɪtæzoʊn θɜːɾi,glitaz,glɪɾæz,1
amgathran 150,æmgæθɹən wʌnhʌndɹɪd fɪfti,amgram,æmgɹæm,1
vilomet 500,vaɪlɑːmɪt faɪvhʌndɹɪd,vilomet 850,vaɪlɑːmɪt eɪthʌndɹɪd fɪfti,1
extreme c,ɛkstɹiːm siː,crystal c alkaline,kɹɪstəl siː ælkəlaɪn,1
tenol,tɛnɑːl,tylenol,taɪlənɑːl,1
healthcare grille,hɛlθkɛɹ gɹɪl,hyacare,haɪɐkɛɹ,1
cytamax 100,saɪɾɐmæks wʌnhʌndɹɪd,cytax 30,saɪɾæks θɜːɾi,1
madovin,mædəvɪn,gadovision,gædəvɪʒən,1
startline 50,stɑːɹtlaɪn fɪfti,ksart 50,keɪsɑːɹt fɪfti,1
zoledius 4,zoʊldɪəs fɔːɹ,zolmed,zoʊmd,1
lifemet,laɪfmɪt,lifemmune,laɪfmjuːn,1
drapolene,dɹæpoʊliːn,trap,tɹæp,1
glixa,glɪksə,glixfort,glɪksfɔːɹt,1
biposaph g10,baɪpɑːsæf dʒiː tɛn,biosaphen z,baɪoʊsæfən ziː,1
param iv,pæɹəm ɹoʊmən fɔːɹ,paracet iv,pæɹəsɪt ɹoʊmən fɔːɹ,1
acode 200,ækoʊd tuːhʌndɹɪd,akucoline 200,ækjuːkɑːliːn tuːhʌndɹɪd,1
anb d5w,ænb diː faɪv dʌbəljuː,db 5,diːbiː faɪv,1
ascorp cee,ɐskɔːɹp siː,sa cee,sɑː siː,1
crezet,kɹɛzɪt,retazet,ɹɪtæzɪt,1
kalmeco,kælmiːkoʊ,ramec,ɹeɪmək,1
alergiquit,ɐlɜːdʒɪkwɪt,valeri,vælɚɹi,1
iztam 45,ɪztæm fɔːɹɾi faɪv,iztam 225,ɪztæm tuːhʌndɹɪd twɛnti faɪv,1
dia bplex,daɪə biːplɛks,go bplex,goʊ biːplɛks,1
